tic,template_k,template_source_id,template_status,wg_contrasts,a_sid,b_sid,a_status,b_status,a_usable,b_usable,pair_usable,D_A,D_B,R_A,R_B,trigger_pair_class,recovery_pair_class,analysis_status,prespecified,interval
21187072,2,1555179177955997440,candidate,373,9300211870722220000,9200211870722220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
24603397,0,3414955164503979136,confirmed,23,9300246033970220000,9200246033970220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
24603397,1,718385060383750784,confirmed,127,9300246033971220000,9200246033971220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
24603397,2,1261751715280478848,confirmed,530,9300246033972220000,9200246033972220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
29862344,0,4154963942133386880,not_detected,6,9300298623440220000,9200298623440220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
29862344,1,1445074014829920000,confirmed,78,9300298623441220000,9200298623441220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
29862344,2,318552918277214080,confirmed,568,9300298623442220000,9200298623442220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
30545382,0,3705386281897262848,not_detected,6,9300305453820220000,9200305453820220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
30545382,1,722446385752579840,confirmed,67,9300305453821220000,9200305453821220000,candidate,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
30545382,2,2719012579552367488,confirmed,445,9300305453822220000,9200305453822220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
33717565,0,4089730604499317760,not_detected,8,9300337175650220000,9200337175650220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
33717565,1,3234830931961892224,confirmed,58,9300337175651220000,9200337175651220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
33717565,2,690742208485115520,not_detected,346,9300337175652220000,9200337175652220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
46847635,0,3118034111008915712,not_detected,10,9300468476350220000,9200468476350220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
46847635,1,4417843183603168640,not_detected,60,9300468476351220000,9200468476351220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
46847635,2,4517992170175866368,confirmed,369,9300468476352220000,9200468476352220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
55650407,0,3681220906102862720,not_detected,2,9300556504070220000,9200556504070220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
55650407,1,5068764619981087488,not_detected,97,9300556504071220000,9200556504071220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
55650407,2,926002203218885504,confirmed,786,9300556504072220000,9200556504072220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
63281499,0,4153618204302689920,not_detected,10,9300632814990220000,9200632814990220000,not_detected,candidate,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
63281499,1,258439731372229120,not_detected,61,9300632814991220000,9200632814991220000,confirmed,not_detected,True,True,True,True,False,True,False,A_only,A_only,postlaunch_descriptive,False,none
63281499,2,305256043125603968,confirmed,550,9300632814992220000,9200632814992220000,confirmed,confirmed,True,True,True,True,True,True,False,both,A_only,postlaunch_descriptive,False,none
65144290,0,2709363196787375488,not_detected,16,9300651442900220000,9200651442900220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
65144290,1,300940112094402176,candidate,115,9300651442901220000,9200651442901220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
65144290,2,1336988963803208192,confirmed,474,9300651442902220000,9200651442902220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
72517198,0,2970066126811876992,not_detected,8,9300725171980220000,9200725171980220000,candidate,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
72517198,1,2250247788602155904,not_detected,60,9300725171981220000,9200725171981220000,not_detected,confirmed,True,True,True,False,True,False,False,B_only,neither,postlaunch_descriptive,False,none
72517198,2,1555179177955997440,candidate,373,9300725171982220000,9200725171982220000,confirmed,confirmed,True,True,True,True,True,True,True,both,both,postlaunch_descriptive,False,none
72637474,0,6191268135405788544,not_detected,5,9300726374740220000,9200726374740220000,not_detected,not_detected,True,True,True,False,False,False,False,neither,neither,postlaunch_descriptive,False,none
72637474,1,4322122179512445568,confirmed,69,9300726374741220000,9200726374741220000,confirmed,confirmed,True,True,True,True,True,False,False,both,neither,postlaunch_descriptive,False,none
